text,source
"Temperature spike detected in Sector 7 cooling system",Detector A
"Pressure nominal in Detector A",Detector A
"Calibration run completed for beam line B2",Beam Line B2
"New baseline recorded for magnet array",Magnet Lab
"Anomaly detected in particle count sensor",Detector A
"Vacuum level within acceptable range",Beam Line B2
"Data acquisition run finished successfully",Data Centre
"High voltage supply stable across all channels",Detector A
"Trigger rate above threshold in forward region",Detector A
"Shielding survey completed no issues found",Safety Office
